=== BÁO CÁO HIERARCHY ===
Tổng MeshRenderer: 6255
Thời gian: 5/12/2026 7:47:44 AM

FORMAT: [DEPTH] | [PATH] | [Verts] | [Bounds W×H×D m]

[01] | Ground_Container/SketchUp                                                        | v:    32 | 6.4×0.0×3.2m
[01] | Ground_Container/SketchUp.001                                                    | v:     8 | 9.6×0.0×6.3m
[01] | Ground_Container/SketchUp.002                                                    | v:     8 | 9.6×0.0×6.3m
[01] | Ground_Container/SketchUp.003                                                    | v:    24 | 6.4×0.0×3.2m
[01] | Ground_Container/SketchUp.004                                                    | v:    62 | 13.0×0.0×13.5m
[01] | Ground_Container/SketchUp.005                                                    | v:    16 | 2.3×0.0×4.2m
[01] | Ground_Container/SketchUp.006                                                    | v:    62 | 8.2×0.0×9.3m
[01] | Ground_Container/SketchUp.007                                                    | v:    58 | 15.1×0.0×12.4m
[01] | Ground_Container/SketchUp.008                                                    | v:    25 | 4.2×0.0×5.3m
[01] | Ground_Container/SketchUp.009                                                    | v:    18 | 2.1×0.0×4.2m
[01] | Ground_Container/SketchUp.010                                                    | v:    20 | 5.1×0.0×4.2m
[01] | Ground_Container/SketchUp.011                                                    | v:   104 | 13.0×0.0×13.3m
[01] | Ground_Container/SketchUp.012                                                    | v:    40 | 25.6×0.0×40.7m
[01] | Ground_Container/SketchUp.013                                                    | v:    12 | 24.5×0.0×16.7m
[01] | Ground_Container/SketchUp.014                                                    | v:    14 | 9.8×0.0×6.1m
[01] | Ground_Container/SketchUp.015                                                    | v:    12 | 13.4×0.0×18.1m
[01] | Ground_Container/SketchUp.016                                                    | v:     8 | 9.8×0.0×6.3m
[01] | Ground_Container/SketchUp.017                                                    | v:   194 | 20.7×0.0×39.4m
[01] | Ground_Container/SketchUp.018                                                    | v:    52 | 12.9×0.0×14.8m
[01] | Ground_Container/SketchUp.019                                                    | v:    52 | 13.0×0.0×15.3m
[01] | Ground_Container/SketchUp.021                                                    | v:    16 | 1.3×0.0×3.4m
[01] | Ground_Container/SketchUp.022                                                    | v:   198 | 104.5×2.0×57.1m
[01] | Ground_Container/SketchUp.024                                                    | v:    12 | 33.8×0.0×20.1m
[01] | Ground_Container/SketchUp.025                                                    | v:  1420 | 131.5×0.0×86.8m
[01] | Ground_Container/SketchUp.026                                                    | v:    22 | 5.2×0.0×4.1m
[01] | Ground_Container/SketchUp.027                                                    | v:    20 | 4.2×0.0×5.3m
[01] | Ground_Container/SketchUp.028                                                    | v:   782 | 51.5×0.0×52.2m
[01] | Ground_Container/SketchUp.029                                                    | v:   705 | 69.0×0.0×90.9m
[01] | Ground_Container/SketchUp.030                                                    | v:     8 | 4.6×0.0×4.5m
[01] | Ground_Container/SketchUp.031                                                    | v:   665 | 48.4×3.1×98.0m
[01] | Ground_Container/SketchUp.032                                                    | v:   134 | 70.5×0.0×62.0m
[01] | Ground_Container/SketchUp.033                                                    | v:    12 | 3.8×0.0×4.0m
[01] | Ground_Container/SketchUp.034                                                    | v:     8 | 2.4×0.0×2.1m
[01] | Ground_Container/SketchUp.035                                                    | v:     8 | 7.1×0.0×6.0m
[01] | Ground_Container/SketchUp.036                                                    | v:     8 | 6.1×0.0×8.2m
[01] | Ground_Container/SketchUp.037                                                    | v:    63 | 42.7×0.0×29.2m
[01] | Ground_Container/SketchUp.038                                                    | v:    60 | 15.5×0.0×16.6m
[01] | Ground_Container/SketchUp.039                                                    | v:   740 | 177.0×0.0×248.5m
[01] | Ground_Container/SketchUp.040                                                    | v:   132 | 6.0×0.0×11.0m
[01] | Ground_Container/SketchUp.041                                                    | v:    12 | 4.2×0.0×4.4m
[01] | Ground_Container/SketchUp.042                                                    | v:     8 | 1.6×0.0×1.5m
[01] | Ground_Container/SketchUp.043                                                    | v:     8 | 6.1×0.0×5.3m
[01] | Ground_Container/SketchUp.044                                                    | v:     8 | 5.9×0.0×5.6m
[01] | Ground_Container/SketchUp.045                                                    | v:     8 | 1.6×0.0×1.5m
[01] | Ground_Container/SketchUp.046                                                    | v:    14 | 7.3×0.0×10.8m
[01] | Ground_Container/SketchUp.047                                                    | v:     8 | 1.9×0.0×1.8m
[01] | Ground_Container/SketchUp.048                                                    | v:    76 | 13.1×0.0×14.5m
[01] | Ground_Container/SketchUp.049                                                    | v:    80 | 11.2×0.0×16.2m
[01] | Ground_Container/SketchUp.050                                                    | v:    10 | 10.4×0.0×13.3m
[01] | Ground_Container/SketchUp.051                                                    | v:   192 | 2.0×0.0×2.0m
[01] | Ground_Container/SketchUp.052                                                    | v:   192 | 2.0×0.0×2.0m
[01] | Ground_Container/SketchUp.053                                                    | v:   192 | 2.0×0.0×2.0m
[01] | Ground_Container/SketchUp.054                                                    | v:     8 | 9.4×0.0×11.0m
[01] | Ground_Container/SketchUp.055                                                    | v:     8 | 5.0×0.0×4.1m
[01] | Ground_Container/SketchUp.056                                                    | v:    34 | 28.7×0.0×41.4m
[01] | Ground_Container/SketchUp.057                                                    | v:   192 | 2.0×0.0×2.0m
[01] | Ground_Container/SketchUp.058                                                    | v:    10 | 9.9×0.0×9.9m
[01] | Ground_Container/SketchUp.059                                                    | v:    12 | 1.7×0.0×3.2m
[01] | Ground_Container/SketchUp.060                                                    | v:    44 | 28.9×0.0×51.0m
[01] | Ground_Container/SketchUp.061                                                    | v:   192 | 2.0×0.0×2.0m
[01] | Ground_Container/SketchUp.062                                                    | v:    12 | 5.9×0.0×5.6m
[01] | Ground_Container/SketchUp.063                                                    | v:   192 | 2.0×0.0×2.0m
[01] | Ground_Container/SketchUp.064                                                    | v:   192 | 2.0×0.0×2.0m
[01] | Ground_Container/SketchUp.065                                                    | v:    52 | 14.2×0.0×15.9m
[01] | Ground_Container/SketchUp.066                                                    | v:    10 | 8.8×0.0×14.1m
