TEN|X|Z|W|D
SketchUp|344|385|593|729
SketchUp.012|258|360|26|41
SketchUp.013|408|345|25|17
SketchUp.017|531|83|21|39
SketchUp.020|378|285|23|14
SketchUp.022|332|302|105|57
SketchUp.023|351|267|34|32
SketchUp.024|407|328|34|20
SketchUp.025|268|454|131|87
SketchUp.028|316|312|52|52
SketchUp.029|269|535|69|91
SketchUp.031|468|171|48|98
SketchUp.032|133|346|70|62
SketchUp.037|355|321|43|29
SketchUp.039|531|237|177|249
SketchUp.056|477|45|29|41
SketchUp.060|341|213|29|51
SketchUp.068|454|166|33|48
SketchUp.073|549|117|12|22
SketchUp.085|342|459|41|33
SketchUp.088|320|471|26|14
SketchUp.091|379|440|43|84
SketchUp.097|246|673|21|19
SketchUp.099|305|438|33|46
SketchUp.100|197|397|26|16
SketchUp.101|243|388|60|84
SketchUp.102|319|576|92|98
SketchUp.103|177|300|78|33
SketchUp.104|236|342|34|33
SketchUp.105|331|339|55|41
SketchUp.106|412|149|48|98
SketchUp.107|133|346|76|67
SketchUp.110|387|359|29|20
SketchUp.111|201|391|23|14
SketchUp.112|416|529|21|32
SketchUp.116|231|368|15|27
SketchUp.118|211|363|22|30
SketchUp.124|167|522|44|69
SketchUp.129|166|540|79|133
SketchUp.130|174|346|10|20
SketchUp.131|253|614|50|77
SketchUp.137|245|328|46|20
SketchUp.139|298|349|46|20
SketchUp.144|72|347|36|75
SketchUp.154|476|380|179|142
SketchUp.156|442|360|38|59
SketchUp.157|516|400|80|70
SketchUp.158|360|416|28|43
SketchUp.159|487|376|20|18
SketchUp.163|478|396|27|25
SketchUp.164|373|413|34|62
SketchUp.165|388|375|33|15
SketchUp.167|455|385|23|24
SketchUp.168|464|365|21|17
SketchUp.172|313|410|20|17
SketchUp.173|413|328|39|20
SketchUp.177|454|385|26|27
SketchUp.179|464|365|25|20
SketchUp.181|396|466|25|33
SketchUp.182|478|396|24|22
SketchUp.188|543|441|25|17
SketchUp.196|353|694|45|37
SketchUp.198|448|637|33|36
SketchUp.199|286|370|61|47
SketchUp.206|365|353|17|21
SketchUp.207|374|482|36|40
SketchUp.212|288|699|24|24
SketchUp.216|354|686|45|24
SketchUp.217|470|592|117|178
SketchUp.220|347|702|37|25
SketchUp.221|352|703|66|78
SketchUp.222|336|717|49|63
SketchUp.224|364|754|26|30
SketchUp.230|411|646|33|50
SketchUp.232|66|266|46|24
SketchUp.235|460|523|15|23
SketchUp.237|303|518|29|20
SketchUp.240|409|710|59|80
SketchUp.241|450|547|19|26
SketchUp.242|472|526|26|24
SketchUp.243|448|571|32|23
SketchUp.244|97|268|62|25
SketchUp.246|423|426|32|42
SketchUp.248|479|505|31|31
SketchUp.251|257|698|26|19
SketchUp.252|494|549|47|85
SketchUp.253|509|450|20|27
SketchUp.257|161|546|16|27
SketchUp.260|431|610|26|30
SketchUp.262|212|484|13|22
SketchUp.263|313|537|27|22
SketchUp.267|403|704|49|73
SketchUp.273|519|495|18|23
SketchUp.285|389|650|46|56
SketchUp.286|374|519|54|57
SketchUp.290|406|547|54|49
SketchUp.292|246|673|21|19
SketchUp.293|257|698|26|19
SketchUp.294|288|699|24|24
SketchUp.295|353|694|45|37
SketchUp.296|340|726|40|44
SketchUp.297|508|518|18|23
SketchUp.298|508|518|18|23
SketchUp.299|484|574|18|31
SketchUp.300|482|575|23|33
SketchUp.303|323|252|25|35
SketchUp.304|323|252|25|35
SketchUp.305|378|285|23|14
SketchUp.306|353|274|29|17
SketchUp.310|586|105|72|78
SketchUp.311|544|442|22|16
SketchUp.312|509|450|20|27
SketchUp.314|420|61|39|39
SketchUp.315|289|434|115|165
SketchUp.317|500|92|31|52
SketchUp.319|148|432|117|109
SketchUp.320|436|380|25|20
SketchUp.321|507|343|129|61
SketchUp.328|334|393|35|20
SketchUp.329|331|385|40|30
SketchUp.330|577|108|117|114
SketchUp.331|628|123|25|90
SketchUp.332|408|683|27|30
SketchUp.333|385|717|34|41
SketchUp.335|428|156|41|50
SketchUp.336|414|193|33|29
SketchUp.337|428|267|58|75
SketchUp.339|393|241|26|14
SketchUp.340|363|229|24|14
SketchUp.341|368|260|72|68
SketchUp.343|207|411|21|18
SketchUp.344|209|376|23|14
SketchUp.345|193|351|35|77
SketchUp.346|148|301|62|25
SketchUp.348|391|464|31|41
SketchUp.350|401|143|116|136
SketchUp.353|5283|4559|40|10
SketchUp.355|462|176|79|123
SketchUp.356|357|373|57|25
SketchUp.361|401|342|42|26
SketchUp.363|483|551|17|24
SketchUp.365|433|348|18|25
SketchUp.368|499|419|33|16
SketchUp.371|346|330|137|105
SketchUp.372|288|396|575|726
SketchUp.377|394|433|23|47
SketchUp.378|66|269|46|18
SketchUp.379|193|455|124|259
SketchUp.380|149|308|29|17
SketchUp.381|138|336|123|119
SketchUp.382|564|389|9|30
SketchUp.383|471|409|20|11
SketchUp.385|466|485|114|180
SketchUp.388|418|455|13|21
SketchUp.389|404|572|66|37
SketchUp.390|349|628|110|107
SketchUp.391|377|585|23|35
SketchUp.393|349|642|85|93
SketchUp.394|383|674|28|14
SketchUp.395|355|660|184|213
SketchUp.396|394|722|99|106
SketchUp.402|299|727|34|27
SketchUp.403|299|727|34|27
SketchUp.404|318|703|20|14
SketchUp.405|240|594|158|245
SketchUp.407|184|501|19|33
SketchUp.408|238|439|36|35
SketchUp.409|322|548|16|23
SketchUp.410|322|548|16|23
SketchUp.417|483|47|16|30
SketchUp.421|371|251|30|30
SketchUp.423|453|291|9|21
SketchUp.424|540|254|103|143
SketchUp.426|468|280|34|55
SketchUp.428|525|259|154|171
SketchUp.429|463|265|10|25
SketchUp.435|480|217|14|35
SketchUp.437|492|215|41|69
SketchUp.439|497|233|14|34
SketchUp.440|481|278|11|23
SketchUp.441|509|202|10|23
SketchUp.444|531|243|170|232
SketchUp.445|516|85|33|74
SketchUp.446|468|60|173|121
SketchUp.447|494|53|21|37
SketchUp.448|501|51|24|30
SketchUp.451|338|452|31|30
SketchUp.452|339|423|76|90
SketchUp.516|311|435|16|21
SketchUp.707|339|417|35|35
SketchUp.708|330|432|47|44
SketchUp.741|341|418|26|16
SketchUp.757|313|710|28|25
SketchUp.758|510|545|24|37
SketchUp.759|510|545|24|37
SketchUp.764|366|166|30|32
SketchUp.766|529|477|52|71
SketchUp.770|354|259|21|17
SketchUp.771|174|432|67|109
SketchUp.774|18|274|17|39
SketchUp.775|51|191|9|20
SketchUp.777|390|601|27|26
SketchUp.778|364|754|26|30
SketchUp.779|519|495|18|23
SketchUp.787|160|285|225|88
SketchUp.789|161|286|222|89
SketchUp.790|95|363|83|80
SketchUp.791|141|393|13|22
SketchUp.792|569|369|254|110
SketchUp.794|568|373|251|102
SketchUp.795|638|394|118|50
SketchUp.806|412|322|41|20
SketchUp.823|367|235|35|13
SketchUp.828|332|205|23|59
SketchUp.886|540|203|28|10
SketchUp.893|106|263|54|21
TOTAL:216
