BÁO CÁO HIERARCHY MESH RENDERERS - CAMPUS DUT
Ngày xuất: 2026-05-13 06:07:45
--------------------------------------------------------------------------------
Object Name | Parent Name | Depth | Bounds Size (WxHxD)
--------------------------------------------------------------------------------
SketchUp | DUT_MODELS | 2 | 6.43x0.00x3.24
SketchUp.001 | DUT_MODELS | 2 | 9.59x0.00x6.26
SketchUp.002 | DUT_MODELS | 2 | 9.59x0.00x6.26
SketchUp.003 | DUT_MODELS | 2 | 6.43x0.00x3.24
SketchUp.004 | DUT_MODELS | 2 | 13.00x0.00x13.53
SketchUp.005 | DUT_MODELS | 2 | 2.32x0.00x4.17
SketchUp.006 | DUT_MODELS | 2 | 8.22x0.00x9.34
SketchUp.007 | DUT_MODELS | 2 | 15.11x0.00x12.40
SketchUp.008 | DUT_MODELS | 2 | 4.25x0.00x5.29
SketchUp.009 | DUT_MODELS | 2 | 2.09x0.00x4.20
SketchUp.010 | DUT_MODELS | 2 | 5.11x0.00x4.22
SketchUp.011 | DUT_MODELS | 2 | 13.03x0.00x13.35
SketchUp.012 | DUT_MODELS | 2 | 25.59x0.00x40.71
SketchUp.013 | DUT_MODELS | 2 | 24.54x0.00x16.73
SketchUp.014 | DUT_MODELS | 2 | 9.81x0.00x6.13
SketchUp.015 | DUT_MODELS | 2 | 13.42x0.00x18.13
SketchUp.016 | DUT_MODELS | 2 | 9.84x0.00x6.29
SketchUp.017 | DUT_MODELS | 2 | 20.66x0.00x39.43
SketchUp.018 | DUT_MODELS | 2 | 12.91x0.00x14.77
SketchUp.019 | DUT_MODELS | 2 | 12.99x0.00x15.35
SketchUp.020 | DUT_MODELS | 2 | 23.40x3.60x13.84
SketchUp.021 | DUT_MODELS | 2 | 1.34x0.00x3.36
SketchUp.022 | DUT_MODELS | 2 | 104.51x2.00x57.08
SketchUp.023 | DUT_MODELS | 2 | 34.14x3.60x31.85
SketchUp.024 | DUT_MODELS | 2 | 33.81x0.00x20.06
SketchUp.025 | DUT_MODELS | 2 | 131.48x0.00x86.80
SketchUp.026 | DUT_MODELS | 2 | 5.16x0.00x4.05
SketchUp.027 | DUT_MODELS | 2 | 4.21x0.00x5.26
SketchUp.028 | DUT_MODELS | 2 | 51.51x0.00x52.20
SketchUp.029 | DUT_MODELS | 2 | 68.96x0.00x90.92
SketchUp.030 | DUT_MODELS | 2 | 4.56x0.00x4.49
SketchUp.031 | DUT_MODELS | 2 | 48.37x3.10x97.96
SketchUp.032 | DUT_MODELS | 2 | 70.47x0.00x62.03
SketchUp.033 | DUT_MODELS | 2 | 3.83x0.00x3.96
SketchUp.034 | DUT_MODELS | 2 | 2.38x0.00x2.06
SketchUp.035 | DUT_MODELS | 2 | 7.06x0.00x5.98
SketchUp.036 | DUT_MODELS | 2 | 6.10x0.00x8.19
SketchUp.037 | DUT_MODELS | 2 | 42.70x0.00x29.22
SketchUp.038 | DUT_MODELS | 2 | 15.47x0.00x16.57
SketchUp.039 | DUT_MODELS | 2 | 177.02x0.00x248.52
SketchUp.040 | DUT_MODELS | 2 | 5.99x0.00x11.02
