=== ROOM CANDIDATES ===
Found 34 objects matching room bounds:

  Buildings_Container/ToaNha_28/group_1041                               | 9.2×2.2×6.2m
  Buildings_Container/ToaNha_29/group_1041.002                           | 9.2×2.2×6.2m
  Buildings_Container/ToaNha_09/group_1135                               | 4.3×2.1×4.3m
  Buildings_Container/ToaNha_09/group_1135.001                           | 4.6×2.1×4.6m
  Buildings_Container/ToaNha_09/group_1136                               | 6.2×3.0×6.2m
  Buildings_Container/ToaNha_09/group_1136.001                           | 6.6×3.0×6.6m
  Buildings_Container/ToaNha_26/group_209.005                            | 16.7×7.5×21.0m
  Buildings_Container/ToaNha_26/group_212.001                            | 16.2×2.1×20.5m
  Buildings_Container/ToaNha_26/group_212.002                            | 16.0×2.1×20.0m
  Buildings_Container/ToaNha_20/group_43.002                             | 17.8×3.6×15.6m
  Buildings_Container/ToaNha_36/group_47                                 | 7.6×3.0×8.3m
  Buildings_Container/ToaNha_36/group_48                                 | 26.7×4.8×22.0m
  Buildings_Container/ToaNha_58/group_51                                 | 21.5×3.0×11.5m
  Buildings_Container/ToaNha_48/group_52                                 | 22.7×3.3×23.6m
  Buildings_Container/ToaNha_48/group_53                                 | 22.7×3.3×26.2m
  Buildings_Container/ToaNha_48/group_54                                 | 13.3×6.6×18.6m
  Buildings_Container/ToaNha_18/group_55                                 | 10.0×3.3×13.4m
  Buildings_Container/ToaNha_09/group_56                                 | 16.9×2.4×12.6m
  Buildings_Container/ToaNha_01/group_60.001                             | 20.4×2.0×25.8m
  Buildings_Container/ToaNha_01/group_62                                 | 11.1×2.0×5.9m
  Buildings_Container/ToaNha_01/group_65.001                             | 11.2×2.5×5.8m
  Buildings_Container/ToaNha_11/group_68                                 | 5.7×2.0×11.0m
  Buildings_Container/ToaNha_12/group_69                                 | 5.7×2.0×11.0m
  Buildings_Container/ToaNha_01/group_93.001                             | 10.9×2.5×5.3m
  Buildings_Container/ToaNha_01/group_93.002                             | 10.9×2.5×5.3m
  Buildings_Container/ToaNha_01/group_95.011                             | 9.7×2.3×4.7m
  Buildings_Container/ToaNha_21/group_997                                | 19.5×3.9×15.2m
  Buildings_Container/ToaNha_21/group_997.001                            | 19.5×3.9×15.2m
  Buildings_Container/ToaNha_10/group_997.002                            | 19.5×3.9×15.2m
  Buildings_Container/ToaNha_21/SketchUp_Instance_120                    | 19.5×7.8×15.2m
  Buildings_Container/ToaNha_21/SketchUp_Instance_120.005                | 19.5×7.8×15.2m
  Buildings_Container/ToaNha_10/SketchUp_Instance_120.010                | 19.5×7.8×15.2m
  Buildings_Container/ToaNha_09/SketchUp_Instance_231.034                | 16.9×2.4×12.7m
  Buildings_Container/ToaNha_09/SketchUp_Instance_232.034                | 16.9×2.4×12.7m
